day,hourlon,lat,age,r,,action,playerId,gameId
14811,13.1767025,-1.1828058958053589,52.95113503932953,0,183376,"placeMember.done","P503","GA502"
14811,13.203221,-1.1827629804611206,52.95114040374756,0,183375,"CreateMemberButton","P503","GA502"
14811,13.204891,-1.1827629804611206,52.95114040374756,0,183375,"createMember.started","P503","GA502"
14811,13.206002,-1.1827629804611206,52.95114040374756,0,183375,"createMember.started","P503","GA502"
14811,13.206633,-1.1827629804611206,52.95114040374756,0,183375,"createMember.done","P503","GA502"
14811,13.212639,-1.1827629804611206,52.95114040374756,0,183375,"placeMember.done","P503","GA502"
14811,13.226113,-1.1827844381332397,52.9511296749115,0,183375,"CreateMemberButton","P503","GA502"
14811,13.228409,-1.18277907371521,52.95112431049347,0,183374,"createMember.done","P503","GA502"
14811,13.246176,-1.1827737092971802,52.95110821723938,0,183372,"CommunitiesButton","P503","GA502"
14811,13.247164,-1.1827737092971802,52.95110821723938,0,183372,"placeMember.failed","P503","GA502"
14811,13.258096,-1.1827737092971802,52.95110821723938,0,183372,"CommunitiesButton","P503","GA502"
14811,13.258893,-1.1827737092971802,52.95110285282135,4,183372,"placeMember.done","P503","GA502"
14811,13.283505,-1.1827737092971802,52.95110285282135,39,183372,"CommunitiesButton","P503","GA502"
14811,13.296642,-1.1827737092971802,52.95110285282135,86,183372,"CommunitiesButton","P503","GA502"
14811,13.298836,-1.1827737092971802,52.95110285282135,94,183372,"CommunitiesButton","P503","GA502"
14811,13.300475,-1.1827737092971802,52.95110285282135,100,183372,"CommunitiesButton","P503","GA502"
14811,13.30502,-1.1827737092971802,52.95110285282135,116,183372,"CommunitiesButton","P503","GA502"
14811,13.320885,-1.1827737092971802,52.95110285282135,173,183372,"CommunitiesButton","P503","GA502"
14811,13.346219,-1.1827898025512695,52.95107066631317,0,183369,"CommunitiesButton","P503","GA502"
14811,13.364928,-1.1828434467315674,52.95103311538696,0,183367,"CreateMemberButton","P503","GA502"
