day,hour,gametime,zone,lon,lat,age,r,dist,action,playerId,gameId,year
14811,11.321849822998047,679.3109833333333,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1993"
14811,11.328348159790039,679.7008833333333,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1994"
14811,11.336102485656738,680.1661666666666,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1995"
14811,11.344612121582031,680.6767166666667,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1996"
14811,11.353160858154297,681.1896833333333,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1997"
14811,11.355941772460938,681.3565333333333,,0.0,0.0,0,NA,0,"CreateMemberButton","P542","GA516",NA
14811,11.358908653259277,681.5345333333333,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1998"
14811,11.3601713180542,681.6102333333333,,0.0,0.0,0,NA,0,"createMember.started","P542","GA516",NA
14811,11.360877990722656,681.6527,,0.0,0.0,0,NA,0,"createMember.done","P542","GA516",NA
14811,11.3617525100708,681.70515,,0.0,0.0,0,NA,0,"createMember.failed","P542","GA516",NA
14811,11.367341995239258,682.0405166666667,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","1999"
14811,11.368658065795898,682.1194833333333,,0.0,0.0,0,NA,0,"CommunitiesButton","P542","GA516",NA
14811,11.375896453857422,682.5537833333333,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","2000"
14811,11.38444709777832,683.0668166666667,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","2001"
14811,11.392648696899414,683.5589166666666,,0.0,0.0,0,NA,0,"changeYear","P542","GA516","2002"
14811,11.397003173828125,683.8202,,-1.1827844381332397,52.95105993747711,0,183368,0,"move","P542","GA516",NA
14811,11.397279739379883,683.8367833333333,,-1.182752251625061,52.95110821723938,0,183372,5,"move","P542","GA516",NA
14811,11.398392677307129,683.9035333333334,,-1.1827737092971802,52.95116186141968,0,183377,6,"move","P542","GA516",NA
14811,11.400893211364746,684.0536333333333,,-1.1828488111495972,52.95116722583771,0,183380,5,"move","P542","GA516",NA
14811,11.401443481445312,684.0866,,-1.1828488111495972,52.95116722583771,0,183380,0,"CommunitiesButton","P542","GA516",NA
14811,11.401947021484375,684.1168166666666,,-1.1828434467315674,52.95116186141968,0,183380,0,"changeYear","P542","GA516","2003"
14811,11.40605354309082,684.3631666666666,,-1.1828434467315674,52.95115649700165,0,183379,0,"CommunitiesButton","P542","GA516",NA
14811,11.411158561706543,684.6695166666667,,-1.182800531387329,52.951204776763916,0,183383,5,"move","P542","GA516",NA
14811,11.412554740905762,684.75325,,-1.1827683448791504,52.951247692108154,0,183386,5,"move","P542","GA516",NA
14811,11.407365798950195,684.44195,,-1.1827576160430908,52.951258420944214,0,183386,0,"placeMember.failed","P542","GA516",NA
14811,11.415382385253906,684.9229666666666,,-1.1827200651168823,52.95127987861633,0,183387,0,"CommunitiesButton","P542","GA516",NA
14811,11.415618896484375,684.9371333333333,,-1.1827147006988525,52.95128524303436,0,183388,5,"move","P542","GA516",NA
14811,11.416630744934082,684.9978666666667,,-1.1826932430267334,52.95129060745239,0,183388,0,"placeMember.done","P542","GA516",NA
14811,11.419648170471191,685.1788833333334,,-1.182730793952942,52.95130133628845,0,183390,0,"newMessage","P542","GA516",NA
14811,11.419650077819824,685.1790166666667,,-1.182730793952942,52.95130133628845,0,183390,0,"changeYear","P542","GA516","2005"
14811,11.421438217163086,685.2862333333334,,-1.1827361583709717,52.95133352279663,0,183393,5,"move","P542","GA516",NA
14811,11.422828674316406,685.36975,,-1.1827093362808228,52.95137643814087,0,183396,5,"move","P542","GA516",NA
14811,11.42357349395752,685.4143666666666,,-1.1826986074447632,52.95138716697693,0,183397,0,"newMessage","P542","GA516",NA
14811,11.42504596710205,685.5027166666666,,-1.1826717853546143,52.95142471790314,0,183400,5,"move","P542","GA516",NA
14811,11.42534351348877,685.5206166666667,[common],-1.1826717853546143,52.9514354467392,0,183401,0,"changeZone","P542","GA516",NA
14811,11.428112983703613,685.6868166666667,[common],-1.1826825141906738,52.951446175575256,1,183402,0,"newMessage","P542","GA516",NA
14811,11.428112983703613,685.6868333333333,[common],-1.1826825141906738,52.951446175575256,1,183402,0,"changeYear","P542","GA516","2006"
14811,11.428667068481445,685.7199833333333,[common],-1.1826986074447632,52.951467633247375,0,183405,5,"move","P542","GA516",NA
14811,11.43033218383789,685.8199166666667,[common],-1.182752251625061,52.951499819755554,0,183410,5,"move","P542","GA516",NA
14811,11.430963516235352,685.8577833333334,[common],-1.1827737092971802,52.951505184173584,0,183411,0,"CreateStoryButton","P542","GA516",NA
14811,11.432831764221191,685.9699166666667,[common],-1.1828166246414185,52.9515266418457,0,183415,5,"move","P542","GA516",NA
14811,11.434410095214844,686.0645833333333,[common],-1.1828166246414185,52.95153200626373,0,183415,0,"addStory.done","P542","GA516",NA
14811,11.437275886535645,686.2365666666667,[common],-1.1827415227890015,52.951499819755554,0,183410,5,"move","P542","GA516",NA
14811,11.437905311584473,686.2743333333333,[common],-1.1827147006988525,52.951499819755554,0,183409,0,"newMessage","P542","GA516",NA
14811,11.437906265258789,686.2743666666667,[common],-1.1827147006988525,52.951499819755554,0,183409,0,"changeYear","P542","GA516","2007"
14811,11.4386625289917,686.3197166666666,[common],-1.182677149772644,52.951467633247375,0,183404,5,"move","P542","GA516",NA
14811,11.44005298614502,686.4031833333333,[common],-1.1826449632644653,52.95141935348511,0,183399,5,"move","P542","GA516",NA
14811,11.441439628601074,686.4863833333334,[common],-1.182580590248108,52.95139253139496,0,183394,5,"move","P542","GA516",NA
14811,11.443950653076172,686.63705,[common],-1.1825376749038696,52.95135498046875,0,183389,5,"move","P542","GA516",NA
14811,11.445891380310059,686.7534833333333,[common],-1.1825376749038696,52.95130670070648,0,183384,5,"move","P542","GA516",NA
14811,11.446797370910645,686.8078666666667,[common],-1.1825323104858398,52.95129060745239,0,183382,0,"newMessage","P542","GA516",NA
14811,11.446797370910645,686.8078833333333,[common],-1.1825323104858398,52.95129060745239,0,183382,0,"changeYear","P542","GA516","2008"
14811,11.447839736938477,686.8704333333334,[common],-1.18252694606781,52.951258420944214,0,183379,5,"move","P542","GA516",NA
14811,11.449514389038086,686.9708833333333,[common],-1.1825215816497803,52.951210141181946,0,183374,5,"move","P542","GA516",NA
14811,11.449812889099121,686.9888333333333,[common],-1.1825215816497803,52.951204776763916,0,183374,0,"newMessage","P542","GA516",NA
14811,11.451717376708984,687.1031,[common],-1.1825001239776611,52.95116186141968,0,183369,5,"move","P542","GA516",NA
14811,11.45269775390625,687.1619,[common],-1.182478666305542,52.95115113258362,0,183367,0,"newMessage","P542","GA516",NA
14811,11.452698707580566,687.1619333333333,[common],-1.182478666305542,52.95115113258362,0,183367,0,"changeYear","P542","GA516","2009"
14811,11.4536714553833,687.2202833333333,[common],-1.1824411153793335,52.9511296749115,0,183364,5,"move","P542","GA516",NA
14811,11.457525253295898,687.4515333333334,[common],-1.1823928356170654,52.95112431049347,0,183362,0,"newMessage","P542","GA516",NA
14811,11.45969009399414,687.5814166666667,[common],-1.1823982000350952,52.95111894607544,0,183361,0,"CreateMemberButton","P542","GA516",NA
14811,11.461503982543945,687.6902833333334,[common],-1.1824089288711548,52.95112431049347,0,183362,0,"changeYear","P542","GA516","2010"
